customer_id,card_type,card_number,expiry_date,billing_address_id,created_at
CUST-0377,Amex,**** **** **** 3194,01/24,ADDR-00638,2024-09-10
CUST-0073,Visa,**** **** **** 9617,11/30,ADDR-01178,2023-10-21
CUST-0112,Amex,**** **** **** 4700,04/27,ADDR-01086,2024-05-03
CUST-0352,Visa,**** **** **** 3282,07/25,ADDR-00350,2025-04-14
CUST-0741,MasterCard,**** **** **** 4532,10/28,ADDR-01036,2023-06-01
CUST-0076,MasterCard,**** **** **** 8393,05/26,ADDR-00692,2024-03-04
CUST-0079,Visa,**** **** **** 5180,01/29,ADDR-01497,2023-10-29
CUST-0134,Discover,**** **** **** 1702,06/29,ADDR-00044,2025-03-07
CUST-0812,Amex,**** **** **** 4893,08/27,ADDR-00878,2024-03-21
CUST-0990,Visa,**** **** **** 9508,12/24,ADDR-00239,2025-02-03
CUST-0132,Discover,**** **** **** 1294,01/25,ADDR-00114,2024-06-16
CUST-0907,MasterCard,**** **** **** 6919,07/27,ADDR-01245,2023-04-01
CUST-0838,Visa,**** **** **** 7328,03/29,ADDR-00934,2023-03-16
CUST-0329,MasterCard,**** **** **** 2637,03/30,ADDR-00448,2023-09-18
CUST-0920,Amex,**** **** **** 6829,01/30,ADDR-00881,2024-06-05
CUST-0564,MasterCard,**** **** **** 8147,10/24,ADDR-00995,2024-10-03
CUST-0868,Discover,**** **** **** 7954,09/29,ADDR-00293,2024-09-28
CUST-0216,Amex,**** **** **** 5757,12/24,ADDR-00238,2023-09-05
CUST-0312,Visa,**** **** **** 9647,08/30,ADDR-00398,2023-12-17
CUST-0306,MasterCard,**** **** **** 8813,11/28,ADDR-01083,2023-05-20
CUST-0418,Visa,**** **** **** 4472,04/29,ADDR-00767,2024-09-21
CUST-0742,Visa,**** **** **** 1874,02/29,ADDR-00759,2024-04-07
CUST-0708,Visa,**** **** **** 1778,09/26,ADDR-01157,2024-08-17
CUST-0725,Visa,**** **** **** 5740,05/28,ADDR-00373,2025-08-15
CUST-0017,Discover,**** **** **** 5181,10/30,ADDR-00340,2024-02-17
CUST-0775,Discover,**** **** **** 7158,11/26,ADDR-01132,2024-10-19
CUST-0620,Discover,**** **** **** 2468,09/26,ADDR-00298,2024-07-02
CUST-0803,Amex,**** **** **** 7293,11/28,ADDR-00509,2023-05-31
CUST-0339,Visa,**** **** **** 5823,01/30,ADDR-01025,2025-06-27
CUST-0318,MasterCard,**** **** **** 3869,04/24,ADDR-00379,2025-05-09
CUST-0800,MasterCard,**** **** **** 5823,03/30,ADDR-00881,2024-02-18
CUST-0578,Visa,**** **** **** 7681,10/29,ADDR-00048,2024-07-25
CUST-0485,MasterCard,**** **** **** 7520,11/24,ADDR-00937,2025-02-21
CUST-0428,Visa,**** **** **** 8241,03/29,ADDR-00443,2023-11-13
CUST-0576,MasterCard,**** **** **** 9519,10/25,ADDR-00668,2024-11-17
CUST-0679,Amex,**** **** **** 4997,09/25,ADDR-01347,2025-07-07
CUST-0575,Visa,**** **** **** 5664,01/26,ADDR-00835,2025-06-27
CUST-0680,Visa,**** **** **** 3334,12/28,ADDR-01250,2024-03-20
CUST-0350,Visa,**** **** **** 9998,03/27,ADDR-01210,2025-02-20
CUST-0368,MasterCard,**** **** **** 8113,11/26,ADDR-00192,2025-03-13
CUST-0564,Discover,**** **** **** 7198,06/27,ADDR-01291,2023-03-16
CUST-0946,MasterCard,**** **** **** 1244,09/27,ADDR-00873,2023-04-11
CUST-0689,MasterCard,**** **** **** 4117,09/26,ADDR-01171,2023-12-11
CUST-0946,Visa,**** **** **** 5127,04/30,ADDR-00547,2024-02-13
CUST-0555,MasterCard,**** **** **** 4942,10/30,ADDR-00637,2025-05-20
CUST-0522,Amex,**** **** **** 1664,01/30,ADDR-00337,2024-05-04
CUST-0771,MasterCard,**** **** **** 1016,01/29,ADDR-01053,2024-03-20
CUST-0615,Discover,**** **** **** 7378,02/24,ADDR-00240,2025-05-03
CUST-0782,Discover,**** **** **** 9255,04/24,ADDR-00167,2024-11-15
CUST-0198,Amex,**** **** **** 1417,01/24,ADDR-00769,2024-06-24
CUST-0058,Amex,**** **** **** 2312,05/29,ADDR-01243,2023-03-16
CUST-0879,Amex,**** **** **** 1890,08/27,ADDR-00363,2025-06-02
CUST-0645,MasterCard,**** **** **** 8263,11/27,ADDR-01285,2023-05-28
CUST-0052,Amex,**** **** **** 4612,11/26,ADDR-00554,2023-01-18
CUST-0918,Discover,**** **** **** 8219,08/28,ADDR-00577,2024-02-05
CUST-0167,Visa,**** **** **** 8356,03/29,ADDR-00826,2025-02-20
CUST-0884,Discover,**** **** **** 3130,10/25,ADDR-00706,2023-01-20
CUST-0569,Visa,**** **** **** 9062,12/29,ADDR-00972,2025-08-02
CUST-0394,Visa,**** **** **** 3637,10/29,ADDR-01233,2023-03-10
CUST-0788,Amex,**** **** **** 1372,07/28,ADDR-01382,2024-06-30
CUST-0270,Visa,**** **** **** 4199,04/25,ADDR-00930,2023-08-26
CUST-0092,MasterCard,**** **** **** 6147,06/29,ADDR-00351,2023-07-27
CUST-0354,Discover,**** **** **** 2781,08/28,ADDR-00163,2024-04-20
CUST-0011,MasterCard,**** **** **** 3691,11/24,ADDR-00161,2024-09-09
CUST-0168,Visa,**** **** **** 7223,02/25,ADDR-00865,2023-09-01
CUST-0845,Amex,**** **** **** 3168,08/27,ADDR-01119,2024-08-10
CUST-1000,Amex,**** **** **** 7160,02/25,ADDR-00447,2024-04-03
CUST-0077,Amex,**** **** **** 6031,05/28,ADDR-00101,2025-01-13
CUST-0985,MasterCard,**** **** **** 6292,01/25,ADDR-00811,2023-10-29
CUST-0523,Visa,**** **** **** 2548,07/26,ADDR-00584,2023-02-24
CUST-0243,Discover,**** **** **** 4356,11/26,ADDR-00209,2024-02-12
CUST-0482,Visa,**** **** **** 3322,08/29,ADDR-01024,2024-11-14
CUST-0526,MasterCard,**** **** **** 4058,02/24,ADDR-00331,2024-10-16
CUST-0095,Discover,**** **** **** 9785,03/24,ADDR-01287,2023-07-18
CUST-0268,Discover,**** **** **** 3811,10/28,ADDR-00697,2025-01-22
CUST-0850,Discover,**** **** **** 8175,04/30,ADDR-00873,2025-06-06
CUST-0847,MasterCard,**** **** **** 9836,04/24,ADDR-01056,2023-07-01
CUST-0557,Amex,**** **** **** 7691,01/26,ADDR-00469,2024-08-09
CUST-0769,Discover,**** **** **** 1375,08/30,ADDR-01440,2024-08-25
CUST-0558,Discover,**** **** **** 7599,11/24,ADDR-00929,2024-05-04
CUST-0717,Visa,**** **** **** 7597,08/25,ADDR-00830,2024-06-14
CUST-0799,MasterCard,**** **** **** 1253,06/30,ADDR-00005,2024-01-21
CUST-0554,MasterCard,**** **** **** 2382,11/30,ADDR-00351,2023-07-04
CUST-0230,Amex,**** **** **** 6372,11/25,ADDR-00177,2024-02-07
CUST-0696,Amex,**** **** **** 1243,06/28,ADDR-00917,2025-08-17
CUST-0108,Amex,**** **** **** 7634,10/25,ADDR-00150,2024-06-19
CUST-0667,MasterCard,**** **** **** 2191,10/25,ADDR-00671,2024-08-04
CUST-0408,Discover,**** **** **** 1646,09/28,ADDR-01095,2025-03-02
CUST-0699,Amex,**** **** **** 4853,07/28,ADDR-01248,2024-07-08
CUST-0296,Visa,**** **** **** 3594,03/24,ADDR-00678,2025-03-28
CUST-0035,MasterCard,**** **** **** 9884,07/29,ADDR-01226,2025-01-03
CUST-0709,Amex,**** **** **** 9312,05/29,ADDR-00267,2023-11-02
CUST-0904,Amex,**** **** **** 9391,09/29,ADDR-00136,2024-10-24
CUST-0087,Amex,**** **** **** 6681,08/29,ADDR-01118,2024-06-03
CUST-0469,Visa,**** **** **** 8231,02/26,ADDR-00367,2023-08-29
CUST-0917,Discover,**** **** **** 8333,07/27,ADDR-00402,2024-07-06
CUST-0788,MasterCard,**** **** **** 1429,10/27,ADDR-00563,2024-01-25
CUST-0799,Visa,**** **** **** 2040,12/29,ADDR-01360,2025-09-23
CUST-0473,Discover,**** **** **** 9719,08/27,ADDR-01110,2023-06-03
CUST-0878,Discover,**** **** **** 9287,08/29,ADDR-00316,2025-05-07
CUST-0855,MasterCard,**** **** **** 6244,09/28,ADDR-00402,2024-05-20
CUST-0768,Visa,**** **** **** 9718,06/29,ADDR-01074,2023-01-01
CUST-0409,MasterCard,**** **** **** 4890,06/24,ADDR-01425,2023-10-03
CUST-0905,Visa,**** **** **** 6904,07/27,ADDR-01491,2024-09-26
CUST-0340,Discover,**** **** **** 1627,01/29,ADDR-00256,2023-06-21
CUST-0287,MasterCard,**** **** **** 6613,06/26,ADDR-00515,2023-07-06
CUST-0957,Discover,**** **** **** 8547,10/27,ADDR-00402,2023-05-24
CUST-0362,Amex,**** **** **** 4042,11/25,ADDR-01299,2025-09-01
CUST-0137,Amex,**** **** **** 7412,04/30,ADDR-00399,2024-07-13
CUST-0984,Visa,**** **** **** 6573,07/25,ADDR-00534,2023-03-23
CUST-0701,Amex,**** **** **** 4057,09/30,ADDR-00692,2025-01-09
CUST-0955,Discover,**** **** **** 3914,06/27,ADDR-00344,2025-09-18
CUST-0590,MasterCard,**** **** **** 7613,10/25,ADDR-01423,2023-08-16
CUST-0352,Amex,**** **** **** 2674,04/30,ADDR-01034,2023-04-19
CUST-0574,Discover,**** **** **** 7049,06/24,ADDR-01323,2024-05-16
CUST-0532,Amex,**** **** **** 7328,09/26,ADDR-00033,2024-09-16
CUST-0329,Discover,**** **** **** 5707,05/25,ADDR-00016,2023-07-18
CUST-0314,Visa,**** **** **** 9393,10/24,ADDR-00232,2025-07-24
CUST-0493,Discover,**** **** **** 3700,01/25,ADDR-01069,2025-05-03
CUST-0722,Amex,**** **** **** 4866,05/30,ADDR-00078,2023-03-30
CUST-0859,Amex,**** **** **** 4443,07/26,ADDR-00181,2023-11-30
CUST-0301,Discover,**** **** **** 2761,06/30,ADDR-00672,2023-07-27
CUST-0110,MasterCard,**** **** **** 3842,06/28,ADDR-00440,2025-04-17
CUST-0430,Discover,**** **** **** 9593,02/25,ADDR-00873,2024-04-03
CUST-0872,Amex,**** **** **** 1750,01/28,ADDR-00545,2025-09-02
CUST-0867,MasterCard,**** **** **** 2787,05/30,ADDR-00179,2023-02-06
CUST-0795,Amex,**** **** **** 3905,08/27,ADDR-01261,2024-06-25
CUST-0971,Visa,**** **** **** 9580,08/28,ADDR-00124,2024-09-11
CUST-0751,MasterCard,**** **** **** 8831,01/26,ADDR-00740,2023-05-13
CUST-0241,Amex,**** **** **** 7589,03/25,ADDR-00678,2024-07-24
CUST-0829,Discover,**** **** **** 7817,01/26,ADDR-01196,2024-06-02
CUST-0426,Discover,**** **** **** 9829,08/26,ADDR-00612,2025-06-02
CUST-0172,MasterCard,**** **** **** 9072,12/26,ADDR-01045,2023-12-12
CUST-0759,Amex,**** **** **** 9869,11/26,ADDR-01205,2024-03-08
CUST-0988,Amex,**** **** **** 6199,12/30,ADDR-01257,2023-10-22
CUST-0183,MasterCard,**** **** **** 5989,10/24,ADDR-00170,2025-04-11
CUST-0710,Discover,**** **** **** 6444,01/25,ADDR-00013,2025-06-22
CUST-0041,Visa,**** **** **** 3554,05/26,ADDR-01310,2023-08-24
CUST-0601,MasterCard,**** **** **** 2191,04/25,ADDR-01317,2025-06-17
CUST-0846,Visa,**** **** **** 6340,06/24,ADDR-00427,2023-01-06
CUST-0332,Amex,**** **** **** 8872,01/28,ADDR-00418,2024-10-10
CUST-0649,Discover,**** **** **** 3984,11/24,ADDR-00582,2023-11-07
CUST-0292,Discover,**** **** **** 7321,10/28,ADDR-01468,2024-05-17
CUST-0148,Discover,**** **** **** 4638,07/27,ADDR-01306,2025-03-18
CUST-0452,Amex,**** **** **** 7771,03/29,ADDR-00014,2023-05-13
CUST-0376,MasterCard,**** **** **** 7042,05/25,ADDR-00143,2024-06-22
CUST-0224,MasterCard,**** **** **** 9902,02/29,ADDR-00274,2023-07-14
CUST-0857,Visa,**** **** **** 3069,04/28,ADDR-00294,2025-06-18
CUST-0862,Visa,**** **** **** 5994,10/24,ADDR-00121,2024-01-22
CUST-0757,Visa,**** **** **** 2472,09/25,ADDR-00851,2023-09-26
CUST-0502,MasterCard,**** **** **** 4341,12/28,ADDR-00949,2023-12-20
CUST-0025,MasterCard,**** **** **** 8727,07/28,ADDR-01447,2023-03-31
CUST-0682,Discover,**** **** **** 3899,03/26,ADDR-00984,2024-04-20
CUST-0329,Amex,**** **** **** 6950,09/29,ADDR-00545,2024-05-10
CUST-0139,Discover,**** **** **** 3535,10/24,ADDR-00667,2023-05-26
CUST-0634,Visa,**** **** **** 9371,11/29,ADDR-00929,2024-01-27
CUST-0922,MasterCard,**** **** **** 2675,07/24,ADDR-01126,2025-06-08
CUST-0187,Discover,**** **** **** 2981,11/27,ADDR-00360,2023-03-06
CUST-0469,MasterCard,**** **** **** 4249,08/30,ADDR-01469,2025-01-15
CUST-0223,MasterCard,**** **** **** 1479,06/25,ADDR-00354,2023-06-08
CUST-0591,MasterCard,**** **** **** 7749,03/24,ADDR-00875,2025-03-29
CUST-0335,Visa,**** **** **** 5967,04/28,ADDR-01128,2023-05-28
CUST-0243,MasterCard,**** **** **** 6326,11/26,ADDR-01439,2025-09-14
CUST-0251,MasterCard,**** **** **** 6246,09/26,ADDR-00547,2024-03-03
CUST-0126,Discover,**** **** **** 8586,12/29,ADDR-01010,2023-08-13
CUST-0166,Discover,**** **** **** 5748,04/24,ADDR-01170,2023-12-07
CUST-0268,Amex,**** **** **** 9161,10/29,ADDR-01485,2023-04-30
CUST-0185,Discover,**** **** **** 8189,01/25,ADDR-01170,2023-06-28
CUST-0451,Visa,**** **** **** 3655,01/26,ADDR-00505,2024-11-13
CUST-0923,Discover,**** **** **** 9634,08/29,ADDR-00231,2023-08-08
CUST-0503,Amex,**** **** **** 3265,10/28,ADDR-01063,2023-09-06
CUST-0134,MasterCard,**** **** **** 1460,11/30,ADDR-00202,2023-05-18
CUST-0813,Amex,**** **** **** 7506,12/30,ADDR-01488,2025-06-02
CUST-0056,MasterCard,**** **** **** 3838,01/24,ADDR-00544,2025-02-18
CUST-0568,Discover,**** **** **** 8628,09/28,ADDR-01037,2025-06-03
CUST-0583,Discover,**** **** **** 6723,11/25,ADDR-01420,2025-01-27
CUST-0740,Amex,**** **** **** 9426,06/25,ADDR-00485,2024-10-14
CUST-0548,Discover,**** **** **** 1997,01/25,ADDR-00036,2023-10-12
CUST-0310,MasterCard,**** **** **** 7354,11/24,ADDR-01173,2025-05-25
CUST-0814,Amex,**** **** **** 2793,08/24,ADDR-00711,2025-05-05
CUST-0893,MasterCard,**** **** **** 4441,12/28,ADDR-00192,2023-01-24
CUST-0798,MasterCard,**** **** **** 3743,12/28,ADDR-00714,2024-11-10
CUST-0025,Visa,**** **** **** 5960,04/27,ADDR-00568,2024-10-31
CUST-0889,MasterCard,**** **** **** 1928,10/30,ADDR-00403,2025-07-22
CUST-0006,Discover,**** **** **** 8702,02/25,ADDR-01407,2024-08-30
CUST-0512,Visa,**** **** **** 2886,03/27,ADDR-00100,2024-10-10
CUST-0155,MasterCard,**** **** **** 2893,04/25,ADDR-00242,2025-06-06
CUST-0704,Discover,**** **** **** 7719,08/30,ADDR-01353,2023-05-23
CUST-0055,Visa,**** **** **** 2462,02/24,ADDR-00784,2024-02-17
CUST-0108,MasterCard,**** **** **** 3960,01/24,ADDR-01265,2025-01-08
CUST-0033,Discover,**** **** **** 3228,12/26,ADDR-01356,2025-01-30
CUST-0948,Discover,**** **** **** 5074,04/28,ADDR-01495,2023-08-08
CUST-0038,Amex,**** **** **** 4153,07/27,ADDR-00691,2023-08-02
CUST-0550,Visa,**** **** **** 3930,08/29,ADDR-01363,2025-04-10
CUST-0309,Visa,**** **** **** 3451,05/25,ADDR-00206,2023-04-03
CUST-0292,Visa,**** **** **** 7468,11/28,ADDR-00288,2025-08-02
CUST-0346,Visa,**** **** **** 6351,03/25,ADDR-01222,2023-10-21
CUST-0385,MasterCard,**** **** **** 1280,10/25,ADDR-01435,2025-05-17
CUST-0376,Amex,**** **** **** 7234,02/30,ADDR-01342,2023-01-02
CUST-0825,MasterCard,**** **** **** 6656,03/30,ADDR-01423,2024-08-20
CUST-0509,Visa,**** **** **** 2592,04/27,ADDR-00243,2023-05-26
CUST-0283,MasterCard,**** **** **** 7944,06/28,ADDR-00669,2024-07-06
CUST-0376,Discover,**** **** **** 6028,03/25,ADDR-00056,2023-09-23
CUST-0965,Visa,**** **** **** 3558,01/25,ADDR-00987,2025-08-10
CUST-0056,Discover,**** **** **** 3017,06/28,ADDR-00332,2024-05-05
CUST-0237,Discover,**** **** **** 5553,01/25,ADDR-01227,2024-09-26
CUST-0063,Discover,**** **** **** 2398,07/27,ADDR-01210,2023-01-23
CUST-0423,MasterCard,**** **** **** 3129,03/30,ADDR-00577,2024-06-27
CUST-0666,Visa,**** **** **** 6609,06/26,ADDR-00325,2025-04-27
CUST-0900,Visa,**** **** **** 4634,12/29,ADDR-00585,2023-02-03
CUST-0256,Visa,**** **** **** 3042,01/28,ADDR-00744,2025-07-18
CUST-0927,Discover,**** **** **** 9132,10/30,ADDR-01311,2024-04-07
CUST-0378,Discover,**** **** **** 6050,10/24,ADDR-00760,2024-03-29
CUST-0605,Amex,**** **** **** 7094,05/27,ADDR-00354,2025-08-26
CUST-0253,Amex,**** **** **** 8857,02/25,ADDR-00515,2024-04-17
CUST-0445,Visa,**** **** **** 2811,01/28,ADDR-00122,2025-02-26
CUST-0122,Visa,**** **** **** 1634,04/24,ADDR-00845,2024-07-21
CUST-0236,Visa,**** **** **** 8361,07/26,ADDR-00185,2024-05-15
CUST-0166,Discover,**** **** **** 9458,01/28,ADDR-00027,2024-06-13
CUST-0100,Amex,**** **** **** 8336,02/25,ADDR-01214,2023-02-01
CUST-0890,Visa,**** **** **** 6615,12/24,ADDR-00950,2023-03-28
CUST-0201,Visa,**** **** **** 7694,08/24,ADDR-00505,2023-02-25
CUST-0474,MasterCard,**** **** **** 6441,02/24,ADDR-00590,2024-01-05
CUST-0994,Amex,**** **** **** 9061,05/25,ADDR-00821,2023-06-29
CUST-0117,MasterCard,**** **** **** 1406,01/28,ADDR-00892,2023-07-06
CUST-0358,Amex,**** **** **** 8320,07/29,ADDR-00880,2024-09-02
CUST-0260,Discover,**** **** **** 1486,04/24,ADDR-01150,2023-01-06
CUST-0342,MasterCard,**** **** **** 4282,10/27,ADDR-00321,2025-04-22
CUST-0830,Discover,**** **** **** 5165,07/27,ADDR-00895,2025-04-22
CUST-0153,Visa,**** **** **** 6787,10/24,ADDR-01075,2023-09-04
CUST-0851,MasterCard,**** **** **** 8782,01/24,ADDR-00118,2025-09-30
CUST-0273,Discover,**** **** **** 7796,07/24,ADDR-00637,2025-09-15
CUST-0339,Visa,**** **** **** 2111,02/24,ADDR-00916,2024-08-25
CUST-0498,Discover,**** **** **** 3036,05/24,ADDR-00041,2025-02-05
CUST-0671,Amex,**** **** **** 4865,09/30,ADDR-01131,2023-03-11
CUST-0841,Amex,**** **** **** 1049,06/25,ADDR-01368,2024-12-25
CUST-0068,Amex,**** **** **** 3820,01/26,ADDR-01251,2024-09-15
CUST-0514,Visa,**** **** **** 5876,11/30,ADDR-01225,2025-04-21
CUST-0509,Discover,**** **** **** 9670,08/29,ADDR-00459,2024-10-25
CUST-0067,MasterCard,**** **** **** 8589,10/27,ADDR-01404,2023-05-04
CUST-0834,Discover,**** **** **** 7262,10/28,ADDR-00600,2023-04-15
CUST-0421,Discover,**** **** **** 2631,03/25,ADDR-00994,2023-10-21
CUST-0976,Visa,**** **** **** 8946,08/28,ADDR-00546,2023-09-12
CUST-0239,MasterCard,**** **** **** 6280,07/25,ADDR-00432,2025-01-24
CUST-0706,Amex,**** **** **** 2866,10/27,ADDR-00031,2023-03-10
CUST-0729,Amex,**** **** **** 3705,07/30,ADDR-01353,2023-05-23
CUST-0027,MasterCard,**** **** **** 8655,01/28,ADDR-00944,2025-04-19
CUST-0926,MasterCard,**** **** **** 2731,02/27,ADDR-00113,2025-05-11
CUST-0163,Visa,**** **** **** 5251,02/30,ADDR-01118,2025-08-24
CUST-0997,Visa,**** **** **** 4853,06/29,ADDR-01438,2025-02-07
CUST-0630,Discover,**** **** **** 3401,02/24,ADDR-00911,2025-09-12
CUST-0023,Amex,**** **** **** 9326,01/30,ADDR-00145,2025-09-20
CUST-0560,Discover,**** **** **** 5260,05/28,ADDR-00284,2023-06-14
CUST-0777,Visa,**** **** **** 8393,06/28,ADDR-01051,2025-01-25
CUST-0950,MasterCard,**** **** **** 8214,09/26,ADDR-00897,2025-08-12
CUST-0012,MasterCard,**** **** **** 2011,01/26,ADDR-01107,2023-02-17
CUST-0429,Discover,**** **** **** 6246,08/29,ADDR-00192,2025-04-28
CUST-0863,MasterCard,**** **** **** 4095,07/28,ADDR-00175,2023-11-03
CUST-0610,Discover,**** **** **** 2499,11/29,ADDR-00173,2025-08-14
CUST-0162,Discover,**** **** **** 5430,03/28,ADDR-01374,2024-03-09
CUST-0574,MasterCard,**** **** **** 8591,12/30,ADDR-00804,2024-08-15
CUST-0966,Discover,**** **** **** 1819,05/24,ADDR-01206,2023-12-30
CUST-0235,Visa,**** **** **** 5237,02/30,ADDR-01190,2024-03-09
CUST-0116,Amex,**** **** **** 7998,01/27,ADDR-01131,2024-10-19
CUST-0255,MasterCard,**** **** **** 8987,05/29,ADDR-01416,2024-07-20
CUST-0572,MasterCard,**** **** **** 6460,12/27,ADDR-00726,2023-04-20
CUST-0798,Discover,**** **** **** 7523,03/26,ADDR-01311,2023-02-16
CUST-0907,Discover,**** **** **** 5637,10/27,ADDR-00786,2024-07-13
CUST-0255,Amex,**** **** **** 8033,01/26,ADDR-00928,2024-06-07
CUST-0320,MasterCard,**** **** **** 2061,08/24,ADDR-00314,2024-07-28
CUST-0347,Visa,**** **** **** 7323,03/25,ADDR-00729,2024-08-16
CUST-0779,MasterCard,**** **** **** 7662,05/28,ADDR-01120,2023-05-09
CUST-0001,MasterCard,**** **** **** 5356,09/27,ADDR-01091,2024-12-14
CUST-0514,MasterCard,**** **** **** 1673,07/25,ADDR-00530,2024-02-09
CUST-0492,MasterCard,**** **** **** 9637,08/28,ADDR-01180,2023-03-11
CUST-0436,Visa,**** **** **** 2038,02/26,ADDR-00152,2023-08-08
CUST-0850,Visa,**** **** **** 5067,06/29,ADDR-01229,2024-10-17
CUST-0835,MasterCard,**** **** **** 4351,12/27,ADDR-00222,2023-08-27
CUST-0219,Discover,**** **** **** 7678,01/26,ADDR-00383,2025-10-01
CUST-0255,Visa,**** **** **** 5169,06/28,ADDR-01047,2023-04-07
CUST-0411,Amex,**** **** **** 1359,03/26,ADDR-00571,2025-02-07
CUST-0310,Discover,**** **** **** 3369,05/24,ADDR-01263,2023-04-10
CUST-0440,Amex,**** **** **** 1517,04/29,ADDR-00593,2023-10-08
CUST-0029,Discover,**** **** **** 7587,02/27,ADDR-00992,2025-07-07
CUST-0934,Visa,**** **** **** 9450,03/29,ADDR-00530,2024-08-31
CUST-0552,Visa,**** **** **** 9957,09/29,ADDR-00006,2025-06-06
CUST-0411,Discover,**** **** **** 3383,02/26,ADDR-00164,2024-03-29
CUST-0278,Discover,**** **** **** 9470,02/30,ADDR-00464,2025-05-09
CUST-0335,MasterCard,**** **** **** 7463,11/27,ADDR-00543,2024-07-13
CUST-0433,MasterCard,**** **** **** 7485,12/28,ADDR-01126,2024-03-26
CUST-0320,Discover,**** **** **** 6117,12/30,ADDR-00185,2023-12-02
CUST-0349,Amex,**** **** **** 6137,11/24,ADDR-00227,2023-05-08
CUST-0629,MasterCard,**** **** **** 3958,01/30,ADDR-01408,2025-03-10
CUST-0490,Amex,**** **** **** 5036,12/27,ADDR-01423,2023-02-15
CUST-0360,Visa,**** **** **** 2153,08/24,ADDR-00866,2024-11-30
CUST-0746,Visa,**** **** **** 4720,10/28,ADDR-01138,2025-04-06
CUST-0405,MasterCard,**** **** **** 7901,06/25,ADDR-00842,2025-09-26
CUST-0727,MasterCard,**** **** **** 2638,09/28,ADDR-00533,2023-12-02
CUST-0382,Visa,**** **** **** 7209,08/24,ADDR-00101,2023-01-26
CUST-0609,Amex,**** **** **** 3226,05/28,ADDR-01189,2023-09-14
CUST-0184,Visa,**** **** **** 5805,07/27,ADDR-01398,2025-06-04
CUST-0281,Discover,**** **** **** 8067,08/27,ADDR-00103,2023-12-01
CUST-0809,Discover,**** **** **** 5294,03/24,ADDR-00637,2023-11-19
CUST-0434,Amex,**** **** **** 9028,08/26,ADDR-01101,2025-07-02
CUST-0030,Discover,**** **** **** 6054,06/25,ADDR-00394,2025-03-11
CUST-0519,Visa,**** **** **** 7965,03/25,ADDR-00757,2023-09-22
CUST-0819,Discover,**** **** **** 7246,03/30,ADDR-01298,2023-07-08
CUST-0789,Discover,**** **** **** 6513,12/26,ADDR-00111,2023-04-22
CUST-0407,Amex,**** **** **** 6685,04/24,ADDR-00019,2024-12-12
CUST-0955,Discover,**** **** **** 3625,03/24,ADDR-00359,2023-06-05
CUST-0302,MasterCard,**** **** **** 8404,07/27,ADDR-01422,2024-11-03
CUST-0486,Amex,**** **** **** 7573,03/30,ADDR-00648,2024-09-19
CUST-0069,Discover,**** **** **** 1454,02/24,ADDR-00363,2023-10-15
CUST-0727,Visa,**** **** **** 2512,06/30,ADDR-01031,2025-04-14
